"T","Na2SO4_V;IV;I","Na2SO4_-d"
300.0,0.007040164349381364,""
301.0,0.007040164349381364,""
302.0,0.007040164349381364,""
303.0,0.007040164349381364,""
304.0,0.007040164349381364,""
305.0,0.007040164349381364,""
306.0,0.007040164349381364,""
307.0,0.007040164349381364,""
308.0,0.007040164349381364,""
309.0,0.007040164349381364,""
310.0,0.007040164349381364,""
311.0,0.007040164349381364,""
312.0,0.007040164349381364,""
313.0,0.007040164349381364,""
314.0,0.007040164349381364,""
315.0,0.007040164349381364,""
316.0,0.007040164349381364,""
317.0,0.007040164349381364,""
318.0,0.007040164349381364,""
319.0,0.007040164349381364,""
320.0,0.007040164349381364,""
321.0,0.007040164349381364,""
322.0,0.007040164349381364,""
323.0,0.007040164349381364,""
324.0,0.007040164349381364,""
325.0,0.007040164349381364,""
326.0,0.007040164349381364,""
327.0,0.007040164349381364,""
328.0,0.007040164349381364,""
329.0,0.007040164349381364,""
330.0,0.007040164349381364,""
331.0,0.007040164349381364,""
332.0,0.007040164349381364,""
333.0,0.007040164349381364,""
334.0,0.007040164349381364,""
335.0,0.007040164349381364,""
336.0,0.007040164349381364,""
337.0,0.007040164349381364,""
338.0,0.007040164349381364,""
339.0,0.007040164349381364,""
340.0,0.007040164349381364,""
341.0,0.007040164349381364,""
342.0,0.007040164349381364,""
343.0,0.007040164349381364,""
344.0,0.007040164349381364,""
345.0,0.007040164349381364,""
346.0,0.007040164349381364,""
347.0,0.007040164349381364,""
348.0,0.007040164349381364,""
349.0,0.007040164349381364,""
350.0,0.007040164349381364,""
351.0,0.007040164349381364,""
352.0,0.007040164349381364,""
353.0,0.007040164349381364,""
354.0,0.007040164349381364,""
355.0,0.007040164349381364,""
356.0,0.007040164349381364,""
357.0,0.007040164349381364,""
358.0,0.007040164349381364,""
359.0,0.007040164349381364,""
360.0,0.007040164349381364,""
361.0,0.007040164349381364,""
362.0,0.007040164349381364,""
363.0,0.007040164349381364,""
364.0,0.007040164349381364,""
365.0,0.007040164349381364,""
366.0,0.007040164349381364,""
367.0,0.007040164349381364,""
368.0,0.007040164349381364,""
369.0,0.007040164349381364,""
370.0,0.007040164349381364,""
371.0,0.007040164349381364,""
372.0,0.007040164349381364,""
373.0,0.007040164349381364,""
374.0,0.007040164349381364,""
375.0,0.007040164349381364,""
376.0,0.007040164349381364,""
377.0,0.007040164349381364,""
378.0,0.007040164349381364,""
379.0,0.007040164349381364,""
380.0,0.007040164349381364,""
381.0,0.007040164349381364,""
382.0,0.007040164349381364,""
383.0,0.007040164349381364,""
384.0,0.007040164349381364,""
385.0,0.007040164349381364,""
386.0,0.007040164349381364,""
387.0,0.007040164349381364,""
388.0,0.007040164349381364,""
389.0,0.007040164349381364,""
390.0,0.007040164349381364,""
391.0,0.007040164349381364,""
392.0,0.007040164349381364,""
393.0,0.007040164349381364,""
394.0,0.007040164349381364,""
395.0,0.007040164349381364,""
396.0,0.007040164349381364,""
397.0,0.007040164349381364,""
398.0,0.007040164349381364,""
399.0,0.007040164349381364,""
400.0,0.007040164349381364,""
401.0,0.007040164349381364,""
402.0,0.007040164349381364,""
403.0,0.007040164349381364,""
404.0,0.007040164349381364,""
